,caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn,Year,Month,Ground_Truth_Bull_and_Bear,Date,month_trend,ground_trend
21,19950316,0.007023000000000001,0.006956,0.007247,0.00716,3566604880.0,500,3538939220.0,500,495.41,0.0071769999999999985,1995,199503,1,1995-03-16,0,0
22,19950317,0.000261,0.000246,-0.0008560000000000001,-0.000869,3567481940.0,500,3566604880.0,500,495.52,0.0002220000000000001,1995,199503,1,1995-03-17,0,0
23,19950320,0.001465,0.001463,-0.00059,-0.000616,3572702110.0,500,3567481940.0,500,496.14,0.001251,1995,199503,1,1995-03-20,0,0
24,19950321,-0.002637,-0.002656,-0.001011,-0.001061,3563214750.0,500,3572702110.0,500,495.07,-0.002157,1995,199503,1,1995-03-21,0,0
25,19950322,0.0014199999999999998,0.001417,0.0005139999999999999,0.0005070000000000001,3568263660.0,500,3563214750.0,500,495.67,0.001212,1995,199503,1,1995-03-22,0,0
26,19950323,0.0005269999999999999,0.0005269999999999999,0.001202,0.001202,3570142680.0,500,3568263660.0,500,495.95,0.0005650000000000001,1995,199503,1,1995-03-23,0,0
27,19950324,0.010055,0.010052,0.010142,0.010136,3606030410.0,500,3570142680.0,500,500.97,0.010122,1995,199503,1,1995-03-24,0,0
28,19950327,0.005063000000000001,0.004623,0.005714,0.005431,3622702480.0,500,3606030410.0,500,503.2,0.004451,1995,199503,1,1995-03-27,0,0
29,19950328,0.001492,0.001482,0.000993,0.000981,3628070690.0,500,3622702480.0,500,503.9,0.001391,1995,199503,1,1995-03-28,0,0
30,19950329,-0.0013,-0.001302,0.001538,0.001534,3623348290.0,500,3628070690.0,500,503.12,-0.001548,1995,199503,1,1995-03-29,0,0
31,19950330,-0.001887,-0.001963,0.0043170000000000005,0.00421,3616236750.0,500,3623348290.0,500,502.22,-0.001789,1995,199503,1,1995-03-30,0,0
32,19950331,-0.003248,-0.0032770000000000004,-0.0016699999999999998,-0.001693,3612503300.0,500,3621796640.0,500,500.71,-0.003007,1995,199503,1,1995-03-31,0,0
33,19950403,0.002386,0.002183,0.0017690000000000004,0.001615,3622154100.0,500,3614262870.0,500,501.85,0.002277,1995,199504,1,1995-04-03,0,0
34,19950404,0.006834999999999999,0.006567,0.007541,0.007353,3645939320.0,500,3622154100.0,500,505.24,0.006755,1995,199504,1,1995-04-04,0,0
35,19950405,0.001004,0.000808,0.001633,0.0015140000000000002,3648886110.0,500,3645939320.0,500,505.57,0.000653,1995,199504,1,1995-04-05,0,0
36,19950406,0.001298,0.001298,0.001246,0.001241,3653621120.0,500,3648886110.0,500,506.08,0.001009,1995,199504,1,1995-04-06,0,0
37,19950407,0.00027,0.000176,0.001313,0.001219,3654263190.0,500,3653621120.0,500,506.42,0.000672,1995,199504,1,1995-04-07,0,0
38,19950410,0.001558,0.001522,0.000198,0.000144,3659825990.0,500,3654263190.0,500,507.01,0.001165,1995,199504,1,1995-04-10,0,0
39,19950411,-0.0029690000000000003,-0.0029690000000000003,-0.003074,-0.003074,3648961690.0,500,3659825990.0,500,505.53,-0.002919,1995,199504,1,1995-04-11,0,0
